eid,account_number_num_fraud_transactions_per_account_number_7day,account_number_num_fraud_transactions_per_account_number_1day,account_number_num_fraud_transactions_per_account_number_30day,account_number_num_fraud_transactions_per_account_number_90day,account_number_num_order_items_per_account_number_lifetime,num_order_items,account_number_num_fraud_transactions_per_account_number_lifetime,account_number_avg_order_total_per_account_number_30day,account_number_avg_order_total_per_account_number_1day,account_number_sum_order_total_per_account_number_1day,account_number_sum_order_total_per_account_number_7day,account_number_num_order_items_per_account_number_1day,account_number_num_order_items_per_account_number_90day,account_number_avg_order_total_per_account_number_90day,account_number_sum_order_total_per_account_number_90day,account_number_avg_order_total_per_account_number_7day,account_number_num_order_items_per_account_number_30day,account_number_num_order_items_per_account_number_7day,account_number_num_distinct_transaction_per_account_number_7day,order_total,account_number_num_distinct_transaction_per_account_number_90day,account_number_sum_order_total_per_account_number_30day,account_number_num_distinct_transaction_per_account_number_30day,account_number_num_distinct_transaction_per_account_number_1day,is_existing_user_1,is_existing_user_0,status_New,status_Pending,is_billing_shipping_city_same_1,is_billing_shipping_city_same_0,num_order_items_IsNull,order_total_IsNull
867-8837095-9305559,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
974-5306287-3527394,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
584-0112844-9158928,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
956-4190732-7014837,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
349-7005645-8862067,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
495-2258880-2665720,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
498-3746597-3172176,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
296-5307932-4489075,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,0,1,1,0,1,0,0,1
674-2095651-4552149,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
036-7494693-1046056,0,0,0,0,2,2.0,0,228.06,228.06,228.06,228.06,2,2,228.06,228.06,228.06,2,2,1,228.06,1,228.06,1,1,1,0,1,0,1,0,0,0
173-5202548-3420473,0,0,0,0,2,2.0,0,612.95,612.95,612.95,612.95,2,2,612.95,612.95,612.95,2,2,1,612.95,1,612.95,1,1,1,0,1,0,1,0,0,0
220-4604889-3703057,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,1,0,1,0,1,0,0,0
959-3901618-2716609,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
672-2378668-7634108,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
130-1134361-0825393,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,0,1,0,1
247-8195585-9774037,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
807-5073661-0451590,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,3,0.0,3,1,1,0,1,0,1,0,0,1
940-4559846-7969599,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
308-2648158-2150419,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
269-9471826-5508181,0,0,0,0,2,2.0,0,212.95,212.95,212.95,212.95,2,2,212.95,212.95,212.95,2,2,1,212.95,1,212.95,1,1,1,0,1,0,1,0,0,0
445-9457816-9347843,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
845-1469938-0795080,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,160.20269675925925,1,0.0,1,1,1,0,1,0,1,0,0,1
341-1888770-2242205,0,0,0,0,2,2.0,0,9.0,9.0,9.0,9.0,2,2,9.0,9.0,9.0,2,2,1,9.0,1,9.0,1,1,0,1,1,0,1,0,0,0
