eid,num_items,country
0,1.0,GB
1,2.0,US
2,,FR
3,3.0,
4,1.0,GB
5,2.0,US
6,,FR
7,3.0,
8,1.0,GB
9,2.0,US
10,,FR
11,3.0,
12,1.0,GB
13,2.0,US
14,,FR
15,3.0,
16,1.0,GB
17,2.0,US
18,,FR
19,3.0,
20,1.0,GB
21,2.0,US
22,,FR
23,3.0,
24,1.0,GB
25,2.0,US
26,,FR
27,3.0,
28,1.0,GB
29,2.0,US
30,,FR
31,3.0,
32,1.0,GB
33,2.0,US
34,,FR
35,3.0,
36,1.0,GB
37,2.0,US
38,,FR
39,3.0,
40,1.0,GB
41,2.0,US
42,,FR
43,3.0,
44,1.0,GB
45,2.0,US
46,,FR
47,3.0,
48,1.0,GB
49,2.0,US
50,,FR
51,3.0,
52,1.0,GB
53,2.0,US
54,,FR
55,3.0,
56,1.0,GB
57,2.0,US
58,,FR
59,3.0,
60,1.0,GB
61,2.0,US
62,,FR
63,3.0,
64,1.0,GB
65,2.0,US
66,,FR
67,3.0,
68,1.0,GB
69,2.0,US
70,,FR
71,3.0,
72,1.0,GB
73,2.0,US
74,,FR
75,3.0,
76,1.0,GB
77,2.0,US
78,,FR
79,3.0,
80,1.0,GB
81,2.0,US
82,,FR
83,3.0,
84,1.0,GB
85,2.0,US
86,,FR
87,3.0,
88,1.0,GB
89,2.0,US
90,,FR
91,3.0,
92,1.0,GB
93,2.0,US
94,,FR
95,3.0,
96,1.0,GB
97,2.0,US
98,,FR
99,3.0,
100,1.0,GB
101,2.0,US
102,,FR
103,3.0,
104,1.0,GB
105,2.0,US
106,,FR
107,3.0,
108,1.0,GB
109,2.0,US
110,,FR
111,3.0,
112,1.0,GB
113,2.0,US
114,,FR
115,3.0,
116,1.0,GB
117,2.0,US
118,,FR
119,3.0,
120,1.0,GB
121,2.0,US
122,,FR
123,3.0,
124,1.0,GB
125,2.0,US
126,,FR
127,3.0,
128,1.0,GB
129,2.0,US
130,,FR
131,3.0,
132,1.0,GB
133,2.0,US
134,,FR
135,3.0,
136,1.0,GB
137,2.0,US
138,,FR
139,3.0,
140,1.0,GB
141,2.0,US
142,,FR
143,3.0,
144,1.0,GB
145,2.0,US
146,,FR
147,3.0,
148,1.0,GB
149,2.0,US
150,,FR
151,3.0,
152,1.0,GB
153,2.0,US
154,,FR
155,3.0,
156,1.0,GB
157,2.0,US
158,,FR
159,3.0,
160,1.0,GB
161,2.0,US
162,,FR
163,3.0,
164,1.0,GB
165,2.0,US
166,,FR
167,3.0,
168,1.0,GB
169,2.0,US
170,,FR
171,3.0,
172,1.0,GB
173,2.0,US
174,,FR
175,3.0,
176,1.0,GB
177,2.0,US
178,,FR
179,3.0,
180,1.0,GB
181,2.0,US
182,,FR
183,3.0,
184,1.0,GB
185,2.0,US
186,,FR
187,3.0,
188,1.0,GB
189,2.0,US
190,,FR
191,3.0,
192,1.0,GB
193,2.0,US
194,,FR
195,3.0,
196,1.0,GB
197,2.0,US
198,,FR
199,3.0,
200,1.0,GB
201,2.0,US
202,,FR
203,3.0,
204,1.0,GB
205,2.0,US
206,,FR
207,3.0,
208,1.0,GB
209,2.0,US
210,,FR
211,3.0,
212,1.0,GB
213,2.0,US
214,,FR
215,3.0,
216,1.0,GB
217,2.0,US
218,,FR
219,3.0,
220,1.0,GB
221,2.0,US
222,,FR
223,3.0,
224,1.0,GB
225,2.0,US
226,,FR
227,3.0,
228,1.0,GB
229,2.0,US
230,,FR
231,3.0,
232,1.0,GB
