eid,sim_is_fraud
0,1
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,0
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,1
620,1
621,0
622,1
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,0
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,0
678,1
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,0
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,1
788,1
789,0
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
812,1
813,0
814,1
815,1
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,0
830,1
831,1
832,1
833,0
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,1
843,1
844,1
845,0
846,1
847,1
848,1
849,0
850,1
851,1
852,1
853,0
854,1
855,1
856,1
857,0
858,1
859,1
860,1
861,0
862,1
863,1
864,1
865,0
866,1
867,1
868,1
869,0
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,1
879,1
880,1
881,0
882,1
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,1
896,1
897,0
898,1
899,1
900,1
901,0
902,1
903,1
904,1
905,0
906,1
907,1
908,1
909,0
910,1
911,1
912,1
913,0
914,1
915,1
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,1
924,1
925,0
926,1
927,1
928,1
929,0
930,1
931,1
932,1
933,0
934,1
935,1
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,1
949,0
950,1
951,1
952,1
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,0
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,0
974,1
975,1
976,1
977,0
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,1
